Match Name,Shared cM,Largest Segment,Shared Segments,Estimated Relationship
Joseph Patrick Kennedy,3487,267,42,Parent
Rose Elizabeth Fitzgerald,3502,281,44,Parent
Robert Francis Kennedy,2598,182,38,Sibling
Edward Moore Kennedy,2641,191,40,Sibling
Eunice Mary Kennedy,2580,175,37,Sibling
Patricia Helen Kennedy,2612,178,39,Sibling
Jean Ann Kennedy,2585,180,36,Sibling
Kathleen Hartington Kennedy,1247,98,22,Niece/Nephew
Joseph Patrick Kennedy III,1289,102,23,Niece/Nephew
David Anthony Kennedy,1198,94,21,Niece/Nephew
Maria Owings Shriver,851,72,18,1st Cousin
Christopher Lawford,872,75,19,1st Cousin
William Kennedy Smith,838,68,17,1st Cousin
Mark Kennedy Shriver,861,71,18,1st Cousin
Patrick Joseph Kennedy,1742,134,28,Aunt/Uncle
Mary Augusta Hickey,1689,128,27,Grandparent
Anonymous Match #5871,438,52,12,1C1R
Cassandra Wexford-Bell,233,38,9,2nd Cousin
Theodore Marlowe,228,35,8,2nd Cousin
Eleanor Ashbrook,124,28,6,2C1R
Harriet Penningham,118,26,6,2C1R
B.M.,75,22,4,3rd Cousin
J. Holloway,71,21,4,3rd Cousin
Anonymous Match #2104,68,19,4,3rd Cousin
Rosalind T.,42,16,3,3C1R
Anonymous Match #9923,38,14,3,3C1R
Quentin Saltford,29,12,2,4th Cousin
M. Aldridge,24,11,2,4th Cousin
Anonymous Match #4477,18,9,2,Distant Cousin
Anonymous Match #6690,12,8,1,Distant Cousin
