Match Name,Shared cM,Largest Segment,Shared Segments,Estimated Relationship
Karl VI des Heiligen Roemischen Reiches,3489,272,43,Parent
Elisabeth von Braunschweig-Wolfenbuettel,3501,279,44,Parent
Leopold Johann von Oesterreich,2604,184,38,Sibling
Maria Anna von Oesterreich,2587,178,37,Sibling
Maria Amalia von Oesterreich,2622,189,40,Sibling
FRANZ I Stephan des Heiligen Roemischen Reiches,18,9,1,Distant Cousin
JOSEF II Benedikt des Heiligen Roemischen Reiches,3460,259,42,Child
Peter LEOPOLD II des Heiligen Roemischen Reiches,3478,265,42,Child
Maria Antonia Josepha Johanna von Oesterreich,3445,251,41,Child
Maria Karoline Ernestine Antonia von Oesterreich,3502,283,43,Child
Maria Christine Johanna Josepha von Oesterreich,3471,261,42,Child
Ferdinand Karl Anton Josef Johann von Oesterreich-Modena,3458,257,41,Child
Maximilian Franz Xaver Josef von Oesterreich,3489,266,42,Child
Maria Carolina von Oesterreich,3469,260,42,Child
Maria Elisabeth Amalie Antonia von Oesterreich,3491,270,43,Child
Anonymous Match #2841,1731,128,28,Aunt/Uncle
Hildegard Frauenlob,857,71,18,1st Cousin
Wilhelm von Trauttmansdorff,872,73,19,1st Cousin
Cassandra Wexford-Bell,419,48,11,1C1R
Theodore Marlowe,228,38,8,2nd Cousin
Eleanor Ashbrook,124,28,6,2C1R
B.M.,75,22,4,3rd Cousin
Anonymous Match #5102,71,21,4,3rd Cousin
J. Holloway,68,19,4,3rd Cousin
Rosalind T.,42,16,3,3C1R
Anonymous Match #9923,38,14,3,3C1R
Quentin Saltford,29,12,2,4th Cousin
M. Aldridge,24,11,2,4th Cousin
Anonymous Match #4477,18,9,2,Distant Cousin
Anonymous Match #6690,12,8,1,Distant Cousin
