Match Name,Shared cM,Largest Segment,Shared Segments,Estimated Relationship
Edward Augustus Hanover,3492,275,43,Parent
Victoria Mary Louisa,3508,283,44,Parent
Edward VII Wettin,3471,263,42,Child
Anonymous Match #1101,3445,257,41,Child
Anonymous Match #1102,3460,260,42,Child
Anonymous Match #1103,3479,266,42,Child
Anonymous Match #1104,3458,259,41,Child
Anonymous Match #1105,3491,272,43,Child
Anonymous Match #1106,3469,261,42,Child
Anonymous Match #1107,3478,265,42,Child
Albert of Saxe-Coburg-Gotha,18,9,1,Distant Cousin
Anonymous Match #2841,1745,134,28,Aunt/Uncle
George IV Hanover,1722,128,27,Aunt/Uncle
William IV Hanover,1740,131,28,Aunt/Uncle
Hildegard Frauenlob,861,72,18,1st Cousin
Wilhelm von Saxony,872,75,19,1st Cousin
Cassandra Wexford-Bell,427,48,11,1C1R
Theodore Marlowe,231,38,8,2nd Cousin
Eleanor Ashbrook,124,28,6,2C1R
Harriet Penningham,118,26,6,2C1R
B.M.,75,22,4,3rd Cousin
J. Holloway,71,21,4,3rd Cousin
Anonymous Match #2104,68,19,4,3rd Cousin
Rosalind T.,42,16,3,3C1R
Anonymous Match #9923,38,14,3,3C1R
Quentin Saltford,29,12,2,4th Cousin
M. Aldridge,24,11,2,4th Cousin
Anonymous Match #4477,18,9,2,Distant Cousin
Anonymous Match #6690,12,8,1,Distant Cousin
Anonymous Match #7710,8,6,1,Distant Cousin
